item_id,title,author,pub_date,genre,summary
24930961,One in Three Hundred,J. T. McIntosh,1953,Science Fiction," Set in the near future when a scientific principle has been discovered allowing exceptionally accurate predictions of solar flares and the occurrence of the Sun increasing its solar output. Applying this principle, worldwide consensus has determined which day, hour, and minute the Sun will brighten so much as to boil away the Earth's seas. Realizing that the heightened albedo will destroy life as we know it, the world's nations debate what to do when the Sun ""goes off."" Since the Earth's rotation continues at 360 degrees in 24 hours, it will take only one day to cause all of the Earth's oceans to boil away. Terrific hurricanes and tidal waves will also occur, causing all buildings to be destroyed. If there are any survivors, they will be in hardened bunkers deep underground, and they will only be able to last as long as their food lasts. The unavoidability of the impending doom has caused some technologically advanced countries to look for sanctuary on another planet, such as Mars. This is all scheduled to happen in a few years, and the exact minute and hour of the Sun's increase in radiance does not give the human race much time to devise a way of navigating space to an orbit as far away as Mars. Nevertheless, massive building programs are initiated, and hundreds of spaceships are raised, many of them unfit for flight. A series of national lotteries are established with grand prize being a ticket to ride a spaceship off the Earth, and possibly make it as far as Mars. Many spaceships, however, were built without landing gear. Although many ships were supposed to have shortwave radios to communicate with each other, many of the shortwave radios were simply empty cases as the tubes and wires had been left out. The protagonist of the story has been elected into a position of authority, and must choose which people to take with him to Mars. He has only a limited number of tickets, and knows there will come a time when people with guns will storm their way on board, rather than stand in line until the tickets are depleted. The book is titled ""One in Three Hundred"" because only one in three hundred people in the United States will get a ticket to leave the Earth, and there is still a question whether the spaceships will have enough air, or even be able to travel to Mars in time, and nobody is certain whether the atmosphere of Mars is breathable, or whether Mars will even be habitable when they get there."
4296173,Tribulation Force,Tim LaHaye,1996-10,Science Fiction," Rayford Steele, Chloe Steele, Buck Williams and Bruce Barnes find themselves left behind. This group of believers, as well as others left behind but becoming believers, are otherwise known as ""Tribulation Saints"", to differentiate from the pre-Rapture designation of Christian. The question of what to do in response to this radical change in situation arises. They propose to fight the perceived threat that Antichrist Nicolae Carpathia poses in the form of eradicating all religion and establishing a single world religion. The dogma consists that ""there is no heaven nor hell, just [the left-behind]."" In addition, Nicolae twisted the message of world-famous rabbi Tsion Ben-Judah about Messiah, in order to point to himself as thus. Buck flies to Jerusalem to meet Ben-Judah and present him to the two witnesses (described in Revelation) stationed at the United Nations-blockaded Wailing Wall. He converts to Christianity, believing that Jesus is the one and only Messiah; thus disproving Carpathia. During the prophesied eighteen months of peace following the covenant with Israel, Chloe and Buck are married, along with Rayford and new believer Amanda White. However, both Buck, who becomes publisher of Global Community Weekly, formerly Global Weekly, and Rayford, who is handpicked to pilot Carpathia’s jet, are in the distressing position of watching Carpathia, now Supreme Potentate of the U.N. - now reorganized into the Global Community- strengthen his grip on the world, witnessing how he orchestrates World War III to bring the former world powers under his heel and how he bamboozles Israeli botanist Chaim Rosenzweig into giving the GC his illustrious Eden formula for a GC-guaranteed peace treaty with Israel, thus initiating the Tribulation. As World War III breaks out, the Tribulation Force suffers its first casualty in the death of their pastor, Bruce Barnes, who was killed in a bombing in the now-decimated city of Chicago."
4649413,White Mughals,William Dalrymple,2002-03-29,History," The book is a work of social history about the warm relations that existed between the British and some Indians in the 18th and early 19th century, when one in three British men in India was married to an Indian woman. It documents the interracial liaisons between British officers, such as Major-General Charles Stuart, and Indian women, and the geopolitical context of late 18th century India. Like From the Holy Mountain, it also examines the interactions of Christianity and Islam, emphasizing the surprisingly porous relationship between the two in pre-modern times. At the heart of White Mughals is the story of a love affair which saw a British dignitary, the East India Company resident of Hyderabad, Captain James Achilles Kirkpatrick, convert to Islam and marry Khair-un-Nissa, a Hyderabadi noblewoman of royal Persian descent. As the British resident of Hyderabad, Kirkpatrick is shown to balance the requirements of his employers, the East India Company, with his sympathetic attitude to the Nizam of Hyderabad. The very title of White Mughals indicates its subject: the late 18th- and early 19th-century period in India, where there had been ‘a succession of unexpected and unplanned minglings of peoples and cultures and ideas’. On one level, the book tells the tragic love story of James Kirkpatrick, ‘the thoroughly orientalised’ British Resident in Hyderabad and Khair, a beautiful young Muslim noblewoman. On another level, the story is about trade, military and political dealings, based on Dalrymple’s researches among letters, diaries, reports, and dispatches (much of it in cipher). Out of these sources he draws a fascinating picture of sexual attitudes and social etiquette, finding an ‘increasingly racist and dismissive attitude’ among the British ruling class towards mixed race offspring, after the rise of Evangelical Christianity. He paces the gradual revelations with a novelist’s skills, leading us on, after the death of Kirkpatrick, to ‘the saddest and most tragic part of the whole story’. The doomed lovers actually engender an optimistic coda, when their two children move to England. The daughter Kitty becomes a friend and muse of Thomas Carlyle, and re-establishes contact with her grandmother in India."
31672195,A Taste of Blackberries,Doris Buchanan Smith,1973-05,Children's literature," As told from the point of view of the unnamed narrator, the story begins as he and his best friend Jamie go blackberry picking. We follow the boys as they take part in a series of exploits - some told in current narrative time, some revealed in poignant flashbacks - allowing the reader to witness their world and shared experience. When one of the boys tragically dies as a result of a rare allergic reaction to bee stings, the narrator struggles to cope with denial, grief, guilt, and loneliness, before coming to terms with his loss. The setting for the story is the author's childhood home, a Maryland suburb, near the author's birthplace, in Washington, D.C.."
189018,Elbow Room,Daniel Dennett,1984,Philosophy," A major task taken on by Dennett in Elbow Room is to clearly describe just what people are as biological entities and why they find the issue of free will to be of significance. In discussing what people are and why free will matters to us, Dennett makes use of an evolutionary perspective. Dennett describes the mechanical behavior of the digger wasp Sphex. This insect follows a series of genetically programmed steps in preparing for egg laying. If an experimenter interrupts one of these steps the wasp will repeat that step again. For an animal like a wasp, this process of repeating the same behavior can go on indefinitely, the wasp never seeming to notice what is going on. This is the type of mindless, pre-determined behavior that humans can avoid. Given the chance to repeat some futile behavior endlessly, people can notice the futility of it, and by an act of free will do something else. We can take this as an operational definition of what people mean by free will. Dennett points out the fact that as long as people see themselves as able to avoid futility, most people have seen enough of the free will issue. Dennett then invites all who are satisfied with this level of analysis to get on with living while he proceeds into the deeper hair-splitting aspects of the free will issue. From a biological perspective, what is the difference between the wasp and a person? The person can, through interaction with his/her environment, construct an internal mental model of the situation and figure out a successful behavioral strategy. The wasp, with a much smaller brain and different genetic program, does not learn from its environment and instead is trapped in an endless and futile behavioral loop that is strictly determined by its genetic program. It is in this sense of people as animals with complex brains that can model reality and appear to choose among several possible behaviors that Dennett says we have free will. The deeper philosophical issue of free will can be framed as a paradox. On one hand, we all feel like we have free will, a multitude of behavioral choices to select among. On the other hand, modern biology generally investigates humans as though the processes at work in them follow the same biological principles as those in wasps. How do we reconcile our feeling of free will with the idea that we might be mechanical components of a mechanical universe? What about determinism? When we say that a person chooses among several possible behaviors is there really a choice or does it just seem like there is a choice? Do people just (through the action of their more complex brains) simply have better behaviors than wasps, while still being totally mechanical in executing those behaviors? Dennett gives his definition of determinism on page one: All physical events are caused or determined by the sum total of all previous events. This definition dodges a question that many people feel should not be dodged: if we repeatedly replayed the universe from the same point in time would it always reach the same future? Since we have no way of performing this experiment, this question is a long-term classic in philosophy and physicists have tried to interpret the results of other experiments in various ways in order to figure out the answer to this question. Modern day physics-oriented philosophers have sometimes tried to answer the question of free will using the many-worlds interpretation, according to which every time there is quantum indeterminacy each possibility occurs and new universes branch off. Since the 1920s, physicists have been trying to convince themselves that quantum indeterminacy can in some way explain free will. Dennett suggests that this idea is silly. How, he asks, can random resolutions of quantum-level events provide people with any control over their behavior? Since Dennett wrote Elbow Room (1984) there has been an on-going attempt by some scientists to answer this question by suggesting that the brain is a device for controlling quantum indeterminacy so as to construct behavioral choice. Dennett argues that such efforts to salvage free will by finding a way out of the prison of determinism are wasted. Dennett discusses many types of free will (1984). Many philosophers have claimed that determinism and free will are incompatible. What the physicists seem to be trying to construct is a type of free will that involves a way for brains to make use of quantum indeterminacy so as to make choices that alter the universe in our favor, or if there are multiple universes, to choose among the possible universes. Dennett suggests that we can have another kind of free will, a type of free will which we can be perfectly happy with even if it does not give us the power to act in more than one way at any given time. Dennett is able to accept determinism and free will at the same time. How so? The type of free will that Dennett thinks we have is finally stated clearly in the last chapter of the book: the power to be active agents, biological devices that respond to our environment with rational, desirable courses of action. Dennett has slowly, through the course of the book, stripped the idea of behavioral choice from his idea of free will. How can we have free will if we do not have indeterministic choice? Dennett emphasizes control over libertarian choice. If our hypothetically mechanical brains are in control of our behavior and our brains produce good behaviors for us, then do we really need such choice? Is an illusion of behavioral choices just as good as actual choices? Is our sensation of having the freedom to execute more than one behavior at a given time really just an illusion? Dennett argues that choice exists in a general sense: that because we base our decisions on context, we limit our options as the situation becomes more specific. In the most specific circumstance (actual events), he suggests there is only one option left to us. :""It is this contrast between the stable and the chaotic that grounds our division of the world into the enduring and salient features of the world, and those features that we must treat statistically or probabilistically. And this division of the world is not just our division; it is, for instance, mother nature's division as well. Since for all mother nature knows (or could know) it is possible that these insects will cross paths (sometime, somewhere) with insectivorous birds, they had better be designed with some avoidance machinery. This endows them with a certain power that will serve well (in general)."" If people are determined to act as they do, then what about personal responsibility? How can we hold people responsible and punish them for their behaviors if they have no choice in how they behave? Dennett gives a two part answer to this question. First, we hold people responsible for their actions because we know from historical experience that this is an effective means to make people behave in a socially acceptable way. Second, holding people responsible only works when combined with the fact that people can be informed of the fact that they are being held responsible and respond to this state of affairs by controlling their behavior so as to avoid punishment. People who break the rules set by society and get punished may be behaving in the only way they can, but if we did not hold them accountable for their actions, people would behave even worse than they do with the threat of punishment. This is a totally utilitarian approach to the issue of responsibility: there is no need for moral indignation when people break the rules of proper behavior. Is it, then, moral to punish people who are unable to do other than break a rule? Yes, people have the right to come together and improve their condition by creating rules and enforcing them. We would be worse off if we did not do so. Again, an argument for utility. One final issue: if people do not have real behavioral choices, why not collapse into fatalism? Again, Dennett's argument is that we may not have behavioral choice, but we do have control of our behavior. Dennett asks us to look around at the universe and ask, can I even conceive of beings whose will is freer than our own? For Dennett, the answer to this question is, no, not really. In Elbow Room, he tries to explain why all the attempts that people have tried to make to prove that people have libertarian choice have failed and are, in the final analysis, not really important anyhow. As humans, we are as much in control of our behavior as anything in the universe. As humans, we have the best chance to produce good behavior. We should be satisfied with what we have and not fret over our lack of libertarian free will. Some complaints about Elbow Room relate to our intuitions about free will. Some say that Dennett's theory does not satisfactorily deal with the issue of why we feel so strongly that we do have behavioral choice. One answer to this question is that our sensation of having behavioral choice has been carefully selected by evolution. The well developed human sensation of having free will and being able to select among possible behaviors has strong survival value. People who lose the feeling that they can plan alternative behaviors and execute their choice of possible behaviors tend to become fatalistic and stop struggling for survival. According to Dennett, belief in free will is a necessary condition for having free will. When we are planning for the future and thinking about possible actions to take in the future, we are utilizing considerable amounts of biologically expensive resources (brain power). Evolution has designed us to feel strongly that all of our effort of planning pays off, that we control what we do. If this connection between our brains' efforts to model reality and predict the future and so make possible good outcomes is disconnected from our sense of self and our will, then fatalism and self-destructive behaviors are close at hand."
19614202,Lolita,Vladimir Vladimirovich Nabokov,1955,Tragicomedy," The novel's fictional ""Foreword"" states that Humbert Humbert dies of coronary thrombosis upon finishing his manuscript, the events of the novel. It also states Mrs. Richard Schiller dies giving birth to a stillborn girl on Christmas Day, 1952. Humbert Humbert, a literary scholar, has harbored a long-time obsession with young girls, or ""nymphets"". He suggests that this was caused by the premature death of a childhood sweetheart, Annabel Leigh. After an unsuccessful marriage, Humbert moves to the small New England town of Ramsdale to write. He rents a room in the house of Charlotte Haze, a widow. While Charlotte shows him around the house, Humbert meets her 11-year-old daughter, Dolores, affectionately known as ""Lo"", ""Lola"", or ""Dolly"" with whom he immediately becomes infatuated, partly due to her uncanny resemblance to Annabel, and privately nicknames her ""Lolita"". Humbert stays at the house only to remain near her. While he is obsessed with Dolores, he disdains her crassness and preoccupation with contemporary American popular culture, such as teen movies and comic books. While Dolores is away at summer camp, Charlotte, who has fallen in love with Humbert, tells him that he must either marry her or move out. Humbert agrees to marry Charlotte in order to continue living near Lolita. Charlotte is oblivious to Humbert's distaste for her, as well as his lust for Lolita, until she reads his diary. Learning of Humbert's true feelings and intentions, Charlotte plans to flee with Lolita and threatens to expose Humbert as a ""detestable, abominable, criminal fraud."" However, fate intervenes on Humbert's behalf, for as she runs across the street in a state of shock, Charlotte is struck and killed by a passing car. Humbert picks Lolita up from camp, pretending that Charlotte has been hospitalized. Rather than return to Charlotte's home, Humbert takes Lolita to a hotel, where he gives her sleeping pills. As he waits for the pills to take effect, he wanders through the hotel and meets a man who seems to know who he is. Humbert excuses himself from the strange conversation and returns to the room. There, he tries molesting Lolita but finds that the sedative is too mild. Instead, she initiates sex the next morning, having slept with a boy at camp. Later, Humbert reveals to Lolita that Charlotte is dead, giving her no choice but to accept her stepfather into her life on his terms or face foster care. Lolita and Humbert drive around the country, moving from state to state and motel to motel. Humbert sees the necessity of maintaining a common base of guilt to keep their relations secret, and wants denial to become second nature for Lolita. He tells her if he is arrested, she will become a ward of the state and lose all her clothes and belongings. He also bribes her for sexual favors, though he knows that she does not reciprocate his love and shares none of his interests. After a year touring North America, the two settle down in another New England town, where Lolita is enrolled in a girls school. Humbert becomes very possessive and strict, forbidding Lolita to take part in after-school activities or to associate with boys. However, most of the townspeople see this as the action of a loving and concerned, though old-fashioned, parent. Lolita begs to be allowed to take part in the school play, and Humbert reluctantly grants his permission in exchange for more sexual favors. The play is written by Clare Quilty. He is said to have attended a rehearsal and been impressed by Lolita's acting. Just before opening night, Lolita and Humbert have a ferocious argument, and Lolita runs away while Humbert assures the neighbors everything is fine. He searches frantically until he finds her exiting a phone booth. She is in a bright, pleasant mood, saying that she tried to reach him at home and that a ""great decision has been made."" They go to buy drinks and Lolita tells Humbert she doesn't care about the play, rather, wants to leave town and resume their travels. As Lolita and Humbert drive westward again, Humbert gets the feeling that their car is being tailed and becomes increasingly paranoid, suspecting that Lolita is conspiring with others in order to escape. She falls ill and must convalesce in a hospital while Humbert stays in a nearby motel, without Lolita for the first time in years. One night, Lolita disappears from the hospital, with the staff telling Humbert that her ""uncle"" checked her out. Humbert embarks upon a frantic search to find Lolita and her abductor, but eventually gives up. During this time, Humbert has a two year relationship (ending in 1952) with an adult named Rita, who he describes as a ""kind, good sport."" She ""solemnly approve[s]"" of his search for Lolita. Rita figuratively dies when Humbert receives a letter from Lolita, now 17, who tells him that she is married, pregnant, and in desperate need of money. Humbert goes to see Lolita, giving her money in exchange for the name of the man who abducted her. She reveals the truth: Clare Quilty, an acquaintance of Charlotte's, the writer of the school play, and the man Lolita claims to have loved, checked her out of the hospital after following them throughout their travels and tried making her star in one of his pornographic films. When she refused, he threw her out. She worked odd jobs before meeting and marrying her husband, who knows nothing about her past. Humbert asks Lolita to leave her husband, Dick, and live with him, to which she refuses. He gives her a large sum of money anyway, which secures her future. As he leaves she smiles and shouts goodbye in a ""sweet, American"" way. Humbert finds Quilty, whom he intends to kill, at his mansion. Before doing so, he first wants Quilty to understand why he must die, for he took advantage of Humbert, a sinner, and he took advantage of a disadvantage. Eventually, Humbert shoots him several times (throughout which Quilty is bargaining for his life in a witty, though bizarre, manner). Once Quilty has died, Humbert exits the house. Shortly after, he is arrested for driving on the wrong side of the road and swerving. The narrative closes with Humbert's final words to Lolita in which he wishes her well, and reveals the novel in its metafiction to be the memoirs of his life, only to be published after he and Lolita have both died."
3741370,Surrender the Pink,Carrie Fisher,1990-08,Romance novel," Surrender the Pink is a story about screenwriter Dinah Kaufman. Although Dinah is successful at her job, she is a failure in her relationships with men. She then meets someone she believes to be the man of her dreams, Rudy Gendler. Rudy is successful and sophisticated, and he asks her to marry him. She soon discovers, however, that he is not exactly what she believed him to be and their marriage is over. Dinah then realizes that she still loves Rudy and wants him back."
1312503,Endymion,"Benjamin Disraeli, 1st Earl of Beaconsfield",1880,Novel," Like most of Disraeli's novels, Endymion is a romance, although Disraeli took the unusual step of setting it between 1819 and 1859. This meant that the hero of the novel&ndash;Endymion Ferrars&ndash;had to be a Whig, rather than a Tory. The time period that Disraeli chose was dominated by the Whig party; there would have been little opportunity for a young, rising Tory. Given that, it seems likely that Disraeli chose the time period in order to move a final time in the world in which he grew up and began his ascent."
2930806,Between the Rivers,Harry Turtledove,1998-03,Speculative fiction," In the novel, the cities and regions are each ruled by their own gods. In the city of Gibil, however; the god Engibil has gotten lazy and does not monitor his city. As such the inhabitants have developed technology such as writing and smelting, and have started to lose respect for Engibil and his power. The other gods have gotten angry at Gibil for reasons they keep to themselves, and have started to refuse to trade with Gibil. It becomes the task of the main character, Sharur, a merchant, to travel the land and find out why the gods are angry and try to solve the problem."
6841973,A Glass of Blessings,Barbara Pym,1958,Fiction," The central character and narrator, Wilmet Forsyth, is a married woman with a comfortable though routine life. She does not need to work and enjoys a life of leisure. When not lunching or shopping she occupies her time, somewhat guiltily, with occasional ""good works"", particularly at the instigation of her slightly eccentric do-gooder mother-in-law. She becomes drawn into the social life of her church, St. Luke's. After a church service one day she renews her acquaintance with a close friend's attractive but ne'er-do-well brother, Piers Longridge. She develops a romantic interest in Piers, and begins to believe that he is her secret admirer. The admirer is in fact her close friend's husband. Wilmet fails to realise that Piers is gay until she becomes aware of his relationship with Keith, a lower-class young man. The subject of homosexuality is not infrequent in Pym's work, but it is usually referred to in oblique and subtle ways. This novel is surprisingly frank about the subject, especially for a comedy of manners published in 1958. The reader can reach no conclusion other than that Piers and Keith live together in a romantic relationship."
