item_id,title,release_date,runtime,genre,summary,type
3350098,Sam Whiskey,1967-04-28,97.0,Action/Adventure,"The husband of Laura Breckenridge has stolen $200,000 from a Denver mint. To return the money and clear her name, she offers Sam Whiskey a $20,000 reward to recover it. Sam brings along a blacksmith, Jedidiah Hooker, and an inventor, O.W. Bandy, on his quest, trailed by a villain called Fat Henry who wants the loot for himself. They create a false bust of George Washington made of gold that fools Fat Henry and are able to claim the $20,000, which Sam gratefully splits with his partners.",movie
803864,Sitcom,1998,80.0,LGBT,"The patriarch of a seemingly normal nuclear family returns home one day with a small white rat. The animal soon has an adverse effect on his wife and children, influencing them into enacting their darkest, most hidden desires. The son loudly announces his homosexuality and begins throwing wild orgies, the daughter deliberately flirts with death and practices sadomasochism on her boyfriend , while the mother seduces her son so she can ""cure"" him of his orientation. After the father eventually kills and devours the offending rat, he turns into one himself; when his family discover this, they band together and brutally slay him.",movie
10791882,Ilamai Oonjal Aadukirathu,1978,141.0,Romance Film,"Murli  and Prabhu  are owner and manager respectively, of an advertising agency in Madras. Prabhu has been raised by Murli's family, and feels greatly indebted to them. Prabhu is in love with Padma , but a misunderstanding leads them apart. In the meantime, Murli meets and falls in love with Padma.",movie
17607081,An Unforgettable Summer,1994,94.0,Romance Film,"The film's plot, which develops as a flashback narrated by Dumitriu's young son, opens with what American film magazine Variety called ""a mad gallop, with the camera in the saddle, giving viewers a crash course in regional rivalries circa 1925."" As she is beaten up by the soldiers, Erzsi continues to defy her aggressors by shouting up revolutionary slogans coined under the Hungarian Soviet Republic. In parallel, Ipsilanti himself is shown to be not just a military commander, but also as a prince.Jäckel, p.105 The two persons are the short and monocled Captain Dumitriu and his sophisticated wife. Confronted with the general's spiteful decision, they find themselves isolated to a garrison in a land frequently raided by Macedonian komitadji, in rebellion against Romanian rule.{{ro icon}} Silvana Silvestri, ""Noile hărţi ale infernului"", in Revista 22, Nr. 753, August 2004 Initially shocked by the cultural clash, Von Debretsy, a mother of three, attempts to adapt her aristocratic lifestyle to the new requirements, but manages to make herself stand out when she continues to seek a life of luxury. While Petre Dumitriu is motivated by his pursuit of discipline, his wife preserves her sophistication, reading the works of Marcel Proust, playing the harpsichord, employing a nanny to educate her children, and comparing the surrounding landscape with Japan's Mount Fuji. Variety calls her ""sensitive-yet-flamboyant in the mold of Zelda Fitzgerald"". In pursuing this path, she only manages to widen the gap between her and most other characters. Bulgarian locals, taken as hostages by the military, are made to work on the garden. Their labor brings immediate improvement to the crop, and, upset by their condition, Marie-Thérèse decides to pay them out of her own pocket, serves them tea and eventually befriends them. In a scene that provided the original title for Petru Dumitriu's book, she invites Ipsilanti and other officers to dinner, and they are all shown to be enjoying the salad provided by Bulgarian labor. However, the episode also renews tensions between Ipsilanti and his Hungarian host, when she expresses her appreciation of her servants' work and attempts to intervene on their behalf. The resulting toll on Dumitriu's career means that they are forced to leave Southern Dobruja, shortly before which the captain's colleagues make public their resentment of the couple. The captain feels dishonored when an angry General Tchilibia draws a comparison between Von Debretsy and the prostitute Erzsi and stresses that, as Hungarians, both women are natural suspects in Romania. It is a result of this that Dumitriu decides to commit suicide, unable to decide whether to shoot himself in the mouth or in the temple, and ultimately falling of the stool  and weeping uncontrollably. This episode, Simon points out, was not present in the original text, and was invented by Pintilie to underline the degradation his character undergoes in order to survive.",movie
2203406,Fright Night II,1988,108.0,Horror,"Fright Night Part II begins after the events in the original Fright Night. Charley , as a result of psychiatric therapy, now believes that Jerry Dandridge , was nothing but a serial killer posing as a vampire. As a result, he comes to believe that vampires never existed, until Regine Dandridge  arrives, intent on seducing Charley into vampirism so she can punish him eternally for destroying her brother. Charley, along with his new girlfriend, Alex Young , go to visit Peter Vincent , who is again a burnt-out vampire killer on Fright Night much to the chagrin of Charley. While visiting Peter's apartment Charley sees four coffins being taken into a car. On the way out from Peter's apartment, Charley sees four strange people walk past him, into an elevator. Charley instantly becomes drawn to one of the four, the alluring Regine . Charley drives Alex back to her dorm room and begins to make out with her, only to pull away and see Regine staring back at him. An upset Alex storms off, not realizing that something is following her. Another girl leaves the dorm as Alex enters, and she is followed and killed by one of Regine's vampires, Belle. Alex, meanwhile, is unaware that Louie, another of Regine's group, is scaling up the wall outside her window, but he is startled and falls when Alex inadvertently slams her window shut on his hands. Bozworth ([[Brian Thompson , a bug-eating servant of Regine, makes fun of Louie before consuming some bugs. Later that night Charley dreams that Regine comes to visit him, only to turn into a vampire and bite him. The next day Charley talks to his psychiatrist  who assures him that what he dreamed was only natural. Alex finds Charley bowling, per doctor's orders, and Charley agrees to go to the symphony with her. On his way there however he sees his friend Richie  with Regine and opts to follow him. Charley climbs up to a fire escape outside of Regine's apartment, only to be horrified when he sees Regine and Belle attack and drain Richie's blood. Charley runs off to find Peter, and the two of them arm themselves with crosses and crash Regine's party. There, Charley finds Richie, but is shocked to find him alive and well, with no bite marks on his neck. Regine makes her entrance, doing an erotic dance with a mesmerized Charley. She introduces herself to Peter and Charley, and claims to be a performance artist in town for some shows. Satisfied that what he thought was Regine attacking Richie was nothing but an act, Charley leaves when he remembers his date with Alex. Peter elects to stay behind and while looking around, he notes that there are people in the corners of the room biting others on the neck. Noting the odd behavior, he draws his pocket mirror and finds that Regine and Belle, who are dancing in the middle of the dance floor, cast no reflections. Storming out of the party, Peter runs into Regine waiting for him outside. As he runs down the stairwell Peter again comes face-to-face with Regine, who reveals She is a vampire, the sister of Jerry Dandridge, and has come to take her revenge on both Charley and Peter. Peter runs back home and hides, resolving to tell Charley in the morning what has just transpired. Charley, meanwhile, blows off his date with Alex, returns home and falls asleep, only to be visited by Regine, who bites him on the neck while he sleeps. Charley, content with the explanation that Regine is a performance artist once again is in denial. He begins to discuss the situation with Alex when Peter arrives to try to warn the couple about Regine but neither believe him. Peter states that he has warned them and runs back to his home, packs his belongings and departs. Meanwhile, Charley has started to show signs of being a vampire as he is becoming sensitive to garlic and sunlight. After failing to talk to his psychiatrist, he overhears a news report about Richie's body being discovered the previous night. Now believing that everything is real, Charley goes to see Peter, only to find that Peter has gone. Louie is once again stalking Alex. Louie reveals his true nature to Alex and Charley and stalks them in the school library, only to flee after Alex injures him by cramming wild roses into his mouth. Alex and Charley are then arrested by campus police. Peter, meanwhile, is also arrested after he shows up on the set of Fright Night and attempts to kill its new host, Regine, on live TV. Everyone thinks he's lost his sanity as he says, ""I have to kill the vampire""; and he ends up in a state hospital. Alex is bailed out by Charley's shrink and goes to post bail for Charley, only to find that he has already been bailed out by Regine. Alex and Dr. Harrison head to the state hospital when the doctor reveals that he is in fact a vampire. He tries to bite Alex only for her to turn the tables on him and run him through with a piece of wood. She then assumes his identity as a doctor. At the hospital, a commotion allows Alex and Peter to escape. Alex and Peter head to Regine's lair in order to save Charley. They find a disoriented Charley, who is slowly turning into a vampire. They rescue him from an undead Richie, and in the process manage to kill Belle, Bozworth and Louie before confronting Regine. She attempts to escape into her coffin, but finds that Charley has lined it with Communion wafers. Regine knocks Alex unconscious and attempts to turn Charley into a vampire, but Peter manages to destroy her with sunlight. The following day, Charley and Alex discuss the previous day's events, with Alex joking that if she wrote a book about it, no one would ever believe them. They know that there are no more vampires, but acknowledge that they can never be 100% certain. They embrace each other, and a bat can be heard flying away.",movie
1069758,The Toy,1982-12-10,102.0,Coming of age,"Jack Brown  is an unemployed newspaper reporter in Baton Rouge, Louisiana in danger of losing his house to the bank. After numerous unsuccessful attempts to get a job working for the local paper, the Bugle, he becomes so desperate that he ends up taking a job as a ""cleaning lady"" for wealthy U.S. Bates , who owns the paper and many other businesses. Brown is humiliated as he clumsily attempts to serve food at a luncheon. He is fired, but lands a part-time job in a department store owned by Bates. ""Master"" Eric Bates , the spoiled-brat son of the boss, has been told that he can have anything in the store. Amused at seeing Jack goof around in the store's toy section, Eric informs his father's right-hand man Sydney Morehouse  that what he wants is Jack himself. Morehouse fails to convince Eric that human beings cannot be owned. In exchange for a generous financial settlement, Jack agrees to be Eric's live-in friend during Eric's one-week spring break from military school. Emotionally estranged from his father, Eric takes a liking to Jack but still manages to humiliate him with numerous pranks. After a particularly humiliating incident in the mansion incited by Bates' ditzy wife Fancy , who literally introduces him at a dinner party as Eric's new ""toy,"" Jack grows tired of the situation and leaves. He agrees to return only when U.S. Bates  offers Jack so much money that he can not only pay back the bank, but pay off the mortgage on his house as well. Jack returns, determined to teach Eric how a friend is supposed to be treated. They bond while participating in mini-cart racing, video games, and even fishing in a stream filled with pirahna. The pair decide to start a newspaper of their own for fun. After witnessing multiple examples of Bates' cruelty, they dig up dirt on him, such as a story of how he won his butler, Barkley , in a game of billiards. They publish their paper and distribute it throughout the city. Bates is outraged. To prove to his son that money can buy loyalty, he offers Jack a reporting job with his newspaper, which is what Jack wanted all along. When he accepts, Eric is upset because he thinks Jack is selling out. Jack tells the boy that most men  need jobs, just as his priority is to support himself and his wife. A swanky outdoor party is later held at the Bates estate. It is attended by wealthy businessmen and politicians, some of whom are unaware it is to be a fundraising event for the Ku Klux Klan. Jack cannot abide that, so he and Eric—teaming up one last time— disrupt the party and expose the real purpose behind it, an attempt to blackmail the senator who is among those bringing a federal indictment against Bates. Bates chases after Jack in a golf cart but ends up crashing into his own pool. Jack saves him from drowning, and it seems all is forgiven. Jack packs up and returns to his neighborhood with his wife. The next day, while driving Eric to the airport to return to military school, Bates tries desperately to have a heart-to-heart talk. Eric runs off, making his way to Jack's house. Jack gently admonishes Eric to give his father a chance. Bates offers the newspaper job to Jack again and promises Eric that next year he can spend one week with him and one with Jack, much to Eric's joy.",movie
34573784,The Royal African Rifles,1953-09-27,75.0,Adventure,"In August 1914 a consignment of Vickers machine guns are stolen off a Royal Navy ship, HMS Marlin. An RN Lieutenant aboard the ship goes undercover as a white hunter through British East Africa to find the weapons before they get into the hands of the Germans and alter the balance of power in Africa.",movie
5744612,The Magnificent Seven Ride,1972-08-01,100.0,Action/Adventure,"{{plot}} In southern Arizona territory, former hired gun-turned-marshal Chris Adams rescues his old friend, former bounty hunter Jim Mackay from an ambush. After recovering from his long ride across the desert, Jim asks Chris to help him defend the small Mexican border town of Magdalena, which has come under constant attack by bandit De Toro and his men. Having recently married and assumed his job as marshal, however, Chris is reluctant to assist Jim, despite their long friendship. Later, Chris refuses the request of his wife Arrila to release jailed teenager Shelly Donavan, who is charged with robbery, insisting that Donavan needs to be responsible for his actions. Chris then meets with newspaper writer Noah Forbes who wants to write the story of Chris's eventful and brutal career. The next morning, while loading bitter prisoners Pepe Carral, Walt Drummond and Donavan onto the Tucson prison wagon transport, Chris abruptly decides to let Donavan go free. While Chris meets Noah to discuss his exploits, Donavan joins his friends, brothers Hank and Bob Allen to celebrate his release. Goaded into action by the Allens' observation that their drab lives as farmers remain unchanged, Donavan leads the pair in a bank robbery just as Arrila meets Chris and Noah in the street outside the bank. Wounding Chris, Donavan abducts Arrila and rides away with the Allens. Reviving two days later, Chris immediately goes in search of Arrila, despite his injury, and agrees to let Noah accompany him. In the desert, Noah and Chris find Arrila's dead body, which galvanizes Chris to find Donavan and exact revenge. That night, Chris tracks down the Allens and demands to know Donavan's whereabouts. Confident that Chris, as marshal, must take them back to town for a trial unharmed, Hank reveals that Donavan has fled to Mexico and admits that Arrila was raped and tortured before her murder. Chris shoots Hank, and Bob, pleading for his life, insists that he did not join in the assault. Accusing him of allowing Arrila's attack, Chris then shoots Bob as Noah looks on in shock. Continuing his search for Donavan, Chris rides on toward the Mexican border and finds Jim with a group of armed farmers from Magdalena hiding on a ridge, hoping to ambush De Toro. After Jim reveals that Donavan rode by the previous day, he again asks Chris to support him, but Chris refuses and tells his friend he is badly outnumbered and will be slaughtered. Chris and Noah depart, tracking Donavan through the desert, only to find themselves circling back toward Jim's location. Hearing distant gunfire, the men hurry to the ridge, but find the farmers dead, although Jim is not among them. Chris reflects that the men of Magdalena have likely left their wives unprotected and, assuming Jim will have returned there, rides into Mexico with the uncertain Noah. Arriving in Magdalena, Chris spots three bandits around the mission and after shooting them, enters the church to find the handful of townswomen who have been raped and beaten. Laurie Gunn explains that the seventeen women were defenseless against De Toro and his more than forty men who arrived the previous day declaring the women's husbands had been massacred. Although Laurie and the women plead with Chris to take them away from Magdalena before De Toro's return, he points out there are no horses and a desert trek would kill them. Realizing that the American Cavalry will not cross the border, Chris wonders how to defend the women. Promising to return to help the frantic women, Chris and Noah ride away toward Tucson. Not far from Magdalena, the pair come upon the bodies of Jim, Donavan and the remaining farmers. At Tucson, Chris meets with the governor then travels to the prison where he presents the skeptical warden with a request to pardon the last five prisoners he arrested, all of whom are tough, violent men: Pepe, Walt, Scott Elliott, Mark Skinner and former Confederate captain Andy Hayes. Meeting the men, Chris explains he will sign their pardons only if they agree to join his posse. Although suspicious and hostile, the men grudgingly agree. Loaded with supplies from the prison, the group departs for De Toro's hacienda, which Jim had described earlier. Arriving just outside of the hacienda and confirming that only a few men are posted as guards, Chris tells the men to raid the house and take anything they desire. Although doubtful, the men agree and quickly overcome the guards and loot the home. Finding De Toro's woman there, Chris orders her taken captive and as the men ride off to Magdalena, Chris tells the men that if they try to escape before he signs the pardons, they will be hunted in America and De Toro will hound them through Mexico for destroying his home. Realizing they have no alternative, the men give up their ideas of breaking away in Mexico and continue to Magdalena where Laurie and the grateful women wait. Suspecting they may have only a day to prepare before De Toro tracks them, Chris designs an elaborate plan of attack using the supplies of long-range rifles, dynamite, barbed wire and repeating rifles. The next day with the women's assistance and under former construction worker Elliott's guidance, the group digs several ditches, building several post and barbed wire fences at specific points leading back into the town. Elliott also constructs hidden barriers across mountain trails into the town. The following day, with the women trained in reloading the weapons, the group awaits De Toro's arrival. When the bandits attack, the initial assault with the long-range guns, sends the outlaws into disarray. Chris and the others retreat as planned to the second line of defense, which, protected by Elliott's clever rigged barbed fence, cuts off another large segment of the bandits who are then dynamited. Walt, Hayes and Elliott are killed and Noah wounded as the group retreats into the town behind another rigged barricade. During a brief lull, Chris goes into the mission where De Toro's woman and the town children are being kept, and tells Laurie that as a last resort they will lure the bandits inside and blow up the church. When De Toro's renewed assault comes, Pepe is killed. Hearing the bandits approaching the mission, Laurie prepares to detonate the dynamite, but first sets De Toro's woman free. The woman rushes outside into the gunfight and is accidentally shot down by De Toro himself. Momentarily stunned, De Toro pauses, and Chris kills him. Dismayed by the death of their leader, the remaining bandits ride away. Relieved to have survived, Chris, Noah and Skinner agree to stay in Magdalena and start new lives.",movie
10473518,A Moment of Romance,1990,90.0,Romantic drama,"Wah Dee , a young triad gangster, is the getaway driver in a jewelry store robbery. When the raid goes wrong, he takes a young woman named Jo Jo  hostage. The head of Wah Dee's gang, Trumpet, demands that she be killed, but Wah Dee resists and saves her. Despite the fact that Wah Dee and Jo Jo come from different backgrounds, the two fall in love but still face many difficulties.",movie
1449222,La Grande Bouffe,1973,123.0,World cinema,"The film tells the story of four friends who gather in a villa for the weekend for the express purpose of eating themselves to death. Bouffer is French slang for ""eating"". .",movie
